"Title","Mixed ethnic groups: age profile"
"Location","England and Wales"
"Time period","2011"
"Data source","Census 2011"
"Data source link","https://www.ons.gov.uk/census/2011census"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","17/12/2012"

"","Mixed","Mixed White/Asian","Mixed White/Black African","Mixed White/Black Caribbean","Mixed other"
"Age group","%","%","%","%","%"
"Mixed","","","","",""
"Age 0 to 4","18.0","19.6","21.9","15.6","17.3"
"Age 5 to 9","13.3","14.2","14.4","12.9","12.1"
"Age 10 to 14","11.5","11.4","10.9","13.0","10.0"
"Age 15 to 17","6.5","6.2","5.4","7.8","5.5"
"Age 18 to 24","13.6","13.3","10.9","15.9","12.3"
"Age 25 to 29","8.1","7.7","7.3","7.8","9.4"
"Age 30 to 34","6.5","6.2","6.9","5.5","8.2"
"Age 35 to 39","5.2","4.9","5.7","4.6","6.1"
"Age 40 to 44","4.8","4.7","4.9","4.7","5.2"
"Age 45 to 49","4.1","3.9","4.0","4.3","4.2"
"Age 50 to 54","2.6","2.4","2.9","2.5","2.9"
"Age 55 to 59","1.6","1.6","1.9","1.3","2.0"
"Age 60 to 64","1.2","1.3","1.0","1.0","1.6"
"Age 65 to 69","0.9","0.9","0.8","0.8","1.2"
"Age 70 to 74","0.7","0.7","0.5","0.8","0.8"
"Age 75 to 79","0.6","0.5","0.3","0.6","0.6"
"Age 80 to 84","0.4","0.3","0.2","0.5","0.4"
"Age 85 and over","0.3","0.3","0.1","0.4","0.3"
