"Title","Victims of crime by ethnicity and socio-economic group"
"Location","England and Wales"
"Time period","2013/14 to 2015/16"
"Data source","Crime Survey for England and Wales https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice/datasets/crimeinenglandandwalesannualtrendanddemographictables"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time_type","Ethnicity","Socio-economic classification","Household income","Value","Unweighted base"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","White","Managerial and professional occupations","All","15.7","32267"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","White","Intermediate occupations","All","14.9","22321"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","White","Routine and manual occupations","All","15.2","33752"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","White","Never worked and long-term unemployed","All","18.3","2848"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","White","Full time students","All","21.8","2463"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","White","Not classified","All","14.0","508"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","Managerial and professional occupations","All","32.0","339"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","Intermediate occupations","All","21.4","199"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","Routine and manual occupations","All","21.8","311"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","Never worked and long-term unemployed","All","17.7","57"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","Full time students","All","25.4","101"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","Not classified","All","-","5"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","Managerial and professional occupations","All","20.0","1653"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","Intermediate occupations","All","19.1","1076"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","Routine and manual occupations","All","15.8","1467"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","Never worked and long-term unemployed","All","13.0","602"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","Full time students","All","18.0","423"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","Not classified","All","-","42"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","Managerial and professional occupations","All","19.8","806"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","Intermediate occupations","All","17.6","470"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","Routine and manual occupations","All","16.8","1004"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","Never worked and long-term unemployed","All","12.2","235"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","Full time students","All","20.7","223"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","Not classified","All","-","25"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Other","Managerial and professional occupations","All","21.6","196"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Other","Intermediate occupations","All","14.8","125"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Other","Routine and manual occupations","All","16.1","177"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Other","Never worked and long-term unemployed","All","16.0","106"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Other","Full time students","All","6.6","106"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Other","Not classified","All","-","2"
