"","FSM","Non-FSM"
"Ethnicity","%","%"
"All","69","85"
"Asian","73","82"
"Bangladeshi","74","80"
"Indian","79","88"
"Pakistani","71","78"
"Asian other","76","84"
"Black","74","82"
"Black African","75","83"
"Black Caribbean","72","82"
"Black other","73","81"
"Chinese","83","90"
"Mixed","73","86"
"Mixed White/Asian","71","89"
"Mixed White/Black African","77","85"
"Mixed White/Black Caribbean","72","84"
"Mixed other","73","86"
"White","67","86"
"White British","68","87"
"White Irish","57","88"
"White Irish Traveller","42","51"
"White Gypsy/Roma","41","37"
"White other","68","79"
"Other","69","77"
