"Title","Grammar, punctuation and spelling attainment for children aged 10 to 11 by ethnicity and gender"
"Location","England"
"Time period","2016/17"
"Data source","Key stage 2 statistics"
"Data source link","https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2017-revised"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","14/12/2017"

"","Boys","","","Girls","",""
"Ethnicity","Expected standard","Higher standard","Average scaled score","Expected standard","Higher standard","Average scaled score"
"All","73","27","105","81","35","107"
"Asian","80","38","107","87","48","109"
"Bangladeshi","82","38","108","89","49","109"
"Indian","85","47","109","91","58","111"
"Pakistani","75","30","106","84","40","108"
"Asian other","83","44","109","88","54","110"
"Black","76","32","106","85","41","108"
"Black African","79","36","107","87","45","109"
"Black Caribbean","68","20","104","80","32","106"
"Black other","74","28","106","82","37","107"
"Chinese","85","51","110","91","61","111"
"Mixed","75","29","106","84","39","108"
"Mixed White/Asian","80","35","107","87","47","109"
"Mixed White/Black African","76","28","106","84","37","107"
"Mixed White/Black Caribbean","67","20","104","80","30","106"
"Mixed other","77","31","106","84","41","108"
"White","71","24","105","80","33","106"
"White British","72","24","105","81","33","106"
"White Irish","78","35","107","85","43","108"
"White Irish Traveller","28","4","97","39","9","99"
"White Gypsy/Roma","24","3","95","34","5","98"
"White other","69","26","105","76","33","106"
"Other","73","31","106","80","38","107"
