"Title","Reading, writing and maths attainment for children aged 10 to 11 by ethnicity and eligibility for free school meals (FSM)"
"Location","England"
"Time period","2016/17"
"Data source","Key stage 2 statistics"
"Data source link","https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","14/12/2017"

"","FSM","Non-FSM"
"Ethnicity","%","%"
"All","43","64"
"Asian","53","65"
"Bangladeshi","59","66"
"Indian","58","72"
"Pakistani","49","57"
"Asian other","51","70"
"Black","52","62"
"Black African","54","65"
"Black Caribbean","46","57"
"Black other","50","60"
"Chinese","66","77"
"Mixed","47","67"
"Mixed White/Asian","48","74"
"Mixed White/Black African","50","66"
"Mixed White/Black Caribbean","44","60"
"Mixed other","48","68"
"White","39","65"
"White British","39","65"
"White Irish","43","74"
"White Irish Traveller","17","28"
"White Gypsy/Roma","15","17"
"White other","45","57"
"Other","50","60"
