"Standard Ethnicity","Year","%"
"Asian","2008/09","3.1"
"Asian","2009/10","2.9"
"Asian","2010/11","3.7"
"Asian","2011/12","3.9"
"Asian","2012/13","3.8"
"Asian","2013/14","4.0"
"Asian","2014/15","4.2"
"Asian","2015/16","4.3"
"Asian","2016/17","4.3"
"Black","2008/09","1.8"
"Black","2009/10","2.0"
"Black","2010/11","2.7"
"Black","2011/12","3.2"
"Black","2012/13","3.3"
"Black","2013/14","3.2"
"Black","2014/15","3.4"
"Black","2015/16","3.5"
"Black","2016/17","3.6"
"Mixed","2008/09","1.4"
"Mixed","2009/10","1.6"
"Mixed","2010/11","1.7"
"Mixed","2011/12","1.8"
"Mixed","2012/13","1.9"
"Mixed","2013/14","2.0"
"Mixed","2014/15","2.1"
"Mixed","2015/16","2.1"
"Mixed","2016/17","2.2"
"White","2008/09","92.4"
"White","2009/10","92.1"
"White","2010/11","90.5"
"White","2011/12","89.6"
"White","2012/13","89.4"
"White","2013/14","89.1"
"White","2014/15","88.7"
"White","2015/16","88.0"
"White","2016/17","88.2"
"Other","2008/09","0.4"
"Other","2009/10","0.5"
"Other","2010/11","0.6"
"Other","2011/12","0.7"
"Other","2012/13","0.7"
"Other","2013/14","0.6"
"Other","2014/15","0.7"
"Other","2015/16","0.7"
"Other","2016/17","0.8"
"Unknown","2008/09","0.9"
"Unknown","2009/10","0.8"
"Unknown","2010/11","0.8"
"Unknown","2011/12","0.8"
"Unknown","2012/13","1.0"
"Unknown","2013/14","1.1"
"Unknown","2014/15","0.9"
"Unknown","2015/16","1.4"
"Unknown","2016/17","0.9"
