"Ethnicity","%","Number ('000s)","All households ('000s)"
"Asian","","",""
"Bangladeshi","8","11","135"
"Chinese","0","0","87"
"Indian","5","22","463"
"Pakistani","10","33","331"
"Asian other","11","25","224"
"Black","","",""
"Black African","8","32","414"
"Black Caribbean","4","14","334"
"Black other","?","?","?"
"Mixed","","",""
"Mixed White/Asian","?","?","?"
"Mixed White/Black African","11","8","74"
"Mixed White/Black Caribbean","5","5","96"
"Mixed other","0","0","69"
"White","","",""
"White British","4","703","19,010"
"White Irish","3","7","192"
"White Gypsy/Traveller","?","?","?"
"White other","5","62","1,129"
"Other","","",""
"Arab","11","10","85"
"Any other","6","14","247"
