"","White British","","","Other than White British","",""
"Region","%","Overcrowded households ('000s)","All households ('000s)","%","Overcrowded households ('000s)","All households ('000s)"
"North East","2","18","1,084","6","4","60"
"North West","1","37","2,732","9","32","351"
"Yorkshire and the Humber","1","29","2,002","6","14","255"
"East Midlands","1","19","1,711","9","22","236"
"West Midlands","2","36","1,963","8","30","385"
"East","2","35","2,179","7","24","334"
"London","3","48","1,721","12","198","1,654"
"South East","2","51","3,204","7","37","507"
"South West","2","34","2,221","8","13","172"
