"Title","Unemployed women by ethnicity and qualification level"
"Location","England, Wales and Scotland"
"Time period","2017"
"Data source","Annual Population Survey"
"Data source link","https://www.nomisweb.co.uk/query/select/getdatasetbytheme.asp?opt%3D3%26theme%3D%26subgrp%3D&sa=D&ust=1505757273319000&usg=AFQjCNFnS64ZDSibYXaOTf54ZPpw97wNXg"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"Ethnicity","Highest qualification held",""
"All","All","3%"
"All","Level 4 and above","2%"
"All","Level 3","3%"
"All","Level 2","3%"
"All","Below Level 2","4%"
"All","Other qualifications","3%"
"All","No qualifications","4%"
"Asian","All","5%"
"Asian","Level 4 and above","5%"
"Asian","Level 3","7%"
"Asian","Level 2","8%"
"Asian","Below Level 2","7%"
"Asian","Other qualifications","3%"
"Asian","No qualifications","3%"
"Black","All","7%"
"Black","Level 4 and above","7%"
"Black","Level 3","8%"
"Black","Level 2","6%"
"Black","Below Level 2","8%"
"Black","Other qualifications","7%"
"Black","No qualifications","6%"
"Mixed","All","5%"
"Mixed","Level 4 and above","4%"
"Mixed","Level 3","3%"
"Mixed","Level 2","6%"
"Mixed","Below Level 2","?"
"Mixed","Other qualifications","?"
"Mixed","No qualifications","?"
"White","All","3%"
"White","Level 4 and above","2%"
"White","Level 3","3%"
"White","Level 2","3%"
"White","Below Level 2","4%"
"White","Other qualifications","3%"
"White","No qualifications","4%"
"Other","All","3%"
"Other","Level 4 and above","3%"
"Other","Level 3","2%"
"Other","Level 2","4%"
"Other","Below Level 2","?"
"Other","Other qualifications","3%"
"Other","No qualifications","2%"
