"Variable","Ethnicity","Female","Male"
"Average (mean) monthly basic pay per FTE (£)","All","4,897","5,703"
"Average (mean) monthly basic pay per FTE (£)","Asian","4,760","5,636"
"Average (mean) monthly basic pay per FTE (£)","Black","4,303","5,142"
"Average (mean) monthly basic pay per FTE (£)","Mixed","4,387","5,017"
"Average (mean) monthly basic pay per FTE (£)","White","5,104","5,934"
"Average (mean) monthly basic pay per FTE (£)","Other","4,652","5,564"
"Average (mean) monthly basic pay per FTE (£)","Unknown","4,401","5,145"
"Ethnicity pay gap, relative to White (%)","All","n/a","n/a"
"Ethnicity pay gap, relative to White (%)","Asian","7","5"
"Ethnicity pay gap, relative to White (%)","Black","16","13"
"Ethnicity pay gap, relative to White (%)","Mixed","14","15"
"Ethnicity pay gap, relative to White (%)","White","n/a","n/a"
"Ethnicity pay gap, relative to White (%)","Other","9","6"
"Ethnicity pay gap, relative to White (%)","Unknown","14","13"
